3,"Tue Sep 25 2018 11:27:36",1
5,"Tue Sep 25 2018 11:27:37",1
7,"Tue Sep 25 2018 11:27:38",1
8,"Tue Sep 25 2018 11:27:41",1
8,"Tue Sep 25 2018 11:30:02",0
5,"Tue Sep 25 2018 11:31:45",0
5,"Tue Sep 25 2018 11:32:09",1
5,"Tue Sep 25 2018 11:34:18",0
5,"Tue Sep 25 2018 11:35:08",1
8,"Tue Sep 25 2018 11:36:18",1
5,"Tue Sep 25 2018 11:36:30",0
5,"Tue Sep 25 2018 11:36:30",1
5,"Tue Sep 25 2018 11:40:16",0
5,"Tue Sep 25 2018 11:40:43",1
5,"Tue Sep 25 2018 11:41:55",0
5,"Tue Sep 25 2018 11:41:55",1
5,"Tue Sep 25 2018 11:44:23",0
5,"Tue Sep 25 2018 11:45:02",1
8,"Tue Sep 25 2018 11:45:36",0
8,"Tue Sep 25 2018 11:45:44",1
5,"Tue Sep 25 2018 11:47:21",0
5,"Tue Sep 25 2018 11:47:27",1
5,"Tue Sep 25 2018 11:51:17",0
5,"Tue Sep 25 2018 11:51:37",1
5,"Tue Sep 25 2018 11:53:19",0
5,"Tue Sep 25 2018 11:53:32",1
5,"Tue Sep 25 2018 11:54:02",0
5,"Tue Sep 25 2018 11:54:04",1
5,"Tue Sep 25 2018 11:54:34",0
5,"Tue Sep 25 2018 11:54:38",1
8,"Tue Sep 25 2018 11:55:27",0
7,"Tue Sep 25 2018 11:57:03",0
8,"Tue Sep 25 2018 11:57:41",1
5,"Tue Sep 25 2018 11:57:52",0
7,"Tue Sep 25 2018 11:58:11",1
3,"Tue Sep 25 2018 11:58:34",0
3,"Tue Sep 25 2018 12:00:30",1
8,"Tue Sep 25 2018 12:00:36",0
7,"Tue Sep 25 2018 12:07:17",0
7,"Tue Sep 25 2018 12:08:38",1
5,"Tue Sep 25 2018 12:09:56",1
5,"Tue Sep 25 2018 12:10:26",0
7,"Tue Sep 25 2018 12:11:50",0
7,"Tue Sep 25 2018 12:12:07",1
5,"Tue Sep 25 2018 12:43:14",1
5,"Tue Sep 25 2018 12:44:12",0
5,"Tue Sep 25 2018 12:45:51",1
5,"Tue Sep 25 2018 12:53:30",0
5,"Tue Sep 25 2018 13:01:13",1
5,"Tue Sep 25 2018 13:02:01",0
7,"Tue Sep 25 2018 13:11:54",0
7,"Tue Sep 25 2018 13:14:30",1
3,"Tue Sep 25 2018 13:15:05",0
5,"Tue Sep 25 2018 13:15:19",1
5,"Tue Sep 25 2018 13:16:20",0
7,"Tue Sep 25 2018 13:17:02",0
5,"Tue Sep 25 2018 13:18:47",1
7,"Tue Sep 25 2018 13:19:34",1
7,"Tue Sep 25 2018 13:20:06",0
5,"Tue Sep 25 2018 13:21:39",0
7,"Tue Sep 25 2018 13:27:41",1
3,"Tue Sep 25 2018 13:27:42",1
3,"Tue Sep 25 2018 13:28:12",0
8,"Tue Sep 25 2018 13:32:22",1
8,"Tue Sep 25 2018 14:02:29",0
7,"Tue Sep 25 2018 14:02:34",0
3,"Tue Sep 25 2018 14:05:24",1
3,"Tue Sep 25 2018 14:05:54",0
3,"Tue Sep 25 2018 14:09:29",1
5,"Tue Sep 25 2018 14:09:33",1
5,"Tue Sep 25 2018 14:10:09",0
5,"Tue Sep 25 2018 14:10:20",1
5,"Tue Sep 25 2018 14:10:52",0
8,"Tue Sep 25 2018 14:17:08",1
8,"Tue Sep 25 2018 14:19:21",0
5,"Tue Sep 25 2018 14:20:21",1
5,"Tue Sep 25 2018 14:20:51",0
8,"Tue Sep 25 2018 14:21:14",1
8,"Tue Sep 25 2018 14:34:09",0
8,"Tue Sep 25 2018 14:34:15",1
8,"Tue Sep 25 2018 14:34:45",0
3,"Tue Sep 25 2018 14:36:12",0
3,"Tue Sep 25 2018 14:36:15",1
8,"Tue Sep 25 2018 14:39:21",1
5,"Tue Sep 25 2018 14:40:18",1
5,"Tue Sep 25 2018 14:41:03",0
7,"Tue Sep 25 2018 14:43:20",1
7,"Tue Sep 25 2018 14:47:58",0
5,"Tue Sep 25 2018 14:49:46",1
5,"Tue Sep 25 2018 14:50:16",0
5,"Tue Sep 25 2018 14:51:22",1
5,"Tue Sep 25 2018 14:52:40",0
7,"Tue Sep 25 2018 14:55:08",1
3,"Tue Sep 25 2018 15:00:37",0
7,"Tue Sep 25 2018 15:02:32",0
3,"Tue Sep 25 2018 15:02:44",1
7,"Tue Sep 25 2018 15:03:02",1
5,"Tue Sep 25 2018 15:03:46",1
5,"Tue Sep 25 2018 15:04:18",0
3,"Tue Sep 25 2018 15:05:17",0
3,"Tue Sep 25 2018 15:05:29",1
5,"Tue Sep 25 2018 15:06:40",1
5,"Tue Sep 25 2018 15:07:32",0
3,"Tue Sep 25 2018 15:07:56",0
8,"Tue Sep 25 2018 15:15:30",0
8,"Tue Sep 25 2018 15:15:32",1
3,"Tue Sep 25 2018 15:27:48",1
3,"Tue Sep 25 2018 15:29:14",0
7,"Tue Sep 25 2018 15:29:35",0
8,"Tue Sep 25 2018 15:29:41",0
1,"Sat Oct 06 2018 09:15:21",1
1,"Sat Oct 06 2018 09:15:53",0
1,"Sat Oct 06 2018 09:22:50",1
1,"Sun Oct 07 2018 23:58:54",1
